date;heure;ville;temperature;humidite;pluie_1h;pluie_24h
04/01/2026;11:53;Genlis;-0.2;96;0;0
04/01/2026;13:27;Varanges;1.5;92;0;0
04/01/2026;13:27;Genlis;-1;95;0;0
04/01/2026;13:33;Varanges;1.5;92;0;0
04/01/2026;13:33;Genlis;-0.9;95;0;0
04/01/2026;13:53;Varanges;1.5;91;0;0
04/01/2026;13:53;Genlis;-0.8;95;0;0
04/01/2026;14:23;Varanges;0.7;89;0;0
04/01/2026;14:23;Genlis;-0.6;95;0;0
04/01/2026;14:43;Varanges;0.4;90;0;0
04/01/2026;14:43;Genlis;-0.5;95;0;0
04/01/2026;14:55;Varanges;0.2;90;0;0
04/01/2026;14:55;Genlis;-0.5;94;0;0
04/01/2026;15:25;Varanges;-0.4;90;0;0
04/01/2026;15:25;Genlis;-1.2;92;0;0
04/01/2026;15:42;Varanges;-0.9;90;0;0
04/01/2026;15:42;Genlis;-1.4;92;0;0
04/01/2026;15:55;Varanges;-1.1;91;0;0
04/01/2026;15:55;Genlis;-1.7;94;0;0
04/01/2026;16:30;Varanges;-1.3;91;0;0
04/01/2026;16:30;Genlis;-1.7;95;0;0
04/01/2026;16:55;Varanges;-1.3;91;0;0
04/01/2026;16:55;Genlis;-1.7;95;0;0
04/01/2026;17:23;Varanges;-1.3;92;0;0
04/01/2026;17:23;Genlis;-1.7;96;0;0
04/01/2026;17:43;Varanges;-1.3;92;0;0
04/01/2026;17:43;Genlis;-1.6;95;0;0
04/01/2026;17:54;Varanges;-1.3;92;0;0
04/01/2026;18:35;Varanges;-2;90;0;0
04/01/2026;18:57;Varanges;-3;90;0;0
04/01/2026;18:57;Genlis;-4.4;88;0;0
04/01/2026;19:23;Varanges;-4.3;91;0;0
04/01/2026;19:23;Genlis;-4.9;92;0;0
04/01/2026;19:40;Varanges;-4.7;92;0;0
04/01/2026;19:40;Genlis;-4.8;94;0;0
04/01/2026;19:52;Varanges;-4.6;93;0;0
04/01/2026;19:52;Genlis;-4.8;95;0;0
04/01/2026;20:28;Varanges;-4.7;93;0;0
04/01/2026;20:28;Genlis;-5.1;94;0;0
04/01/2026;20:47;Varanges;-5;93;0;0
04/01/2026;20:47;Genlis;-5.5;93;0;0
04/01/2026;21:23;Varanges;-5.4;94;0;0
04/01/2026;21:23;Genlis;-5.7;94;0;0
04/01/2026;21:41;Varanges;-5.4;94;0;0
04/01/2026;21:41;Genlis;-5.8;94;0;0
04/01/2026;21:54;Varanges;-5.6;93;0;0
04/01/2026;21:54;Genlis;-6.2;94;0;0
04/01/2026;22:25;Varanges;-5.8;93;0;0
04/01/2026;22:25;Genlis;-6.6;95;0;0
04/01/2026;22:45;Varanges;-5.5;94;0;0
04/01/2026;22:45;Genlis;-6;97;0;0
04/01/2026;23:24;Varanges;-5.1;94;0;0
04/01/2026;23:42;Varanges;-5.3;94;0;0
04/01/2026;23:55;Varanges;-5.5;93;0;0
04/01/2026;23:55;Genlis;-5.6;95;0;0
05/01/2026;04:07;Varanges;-8.7;93;0;0
05/01/2026;04:07;Genlis;-9.3;93;0;0
05/01/2026;05:07;Varanges;-8.9;93;0;0
05/01/2026;05:07;Genlis;-9.6;93;0;0
05/01/2026;05:51;Varanges;-9.7;92;0;0
05/01/2026;05:51;Genlis;-10;92;0;0
05/01/2026;06:47;Varanges;-9;94;0;0
05/01/2026;06:47;Genlis;-8.6;97;0;0
05/01/2026;07:32;Varanges;-6.6;95;0;0
05/01/2026;07:32;Genlis;-6.4;97;0;0
05/01/2026;07:57;Varanges;-6.1;95;0;0
05/01/2026;07:57;Genlis;-6.1;97;0;0
05/01/2026;08:46;Varanges;-5.7;95;0;0
05/01/2026;08:46;Genlis;-5.7;97;0;0
05/01/2026;09:38;Varanges;-5.1;95;0;0
05/01/2026;09:38;Genlis;-5;97;0;0
05/01/2026;09:59;Varanges;-5;95;0;0
05/01/2026;09:59;Genlis;-4.9;97;0;0
05/01/2026;10:37;Varanges;-4.8;95;0;0
05/01/2026;10:37;Genlis;-4.2;97;0;0
05/01/2026;10:58;Varanges;-4.7;95;0;0
05/01/2026;10:58;Genlis;-4.1;97;0;0
05/01/2026;11:28;Varanges;-4.3;96;0;0
05/01/2026;11:28;Genlis;-3.8;97;0;0
05/01/2026;11:45;Varanges;-4;96;0;0
05/01/2026;11:45;Genlis;-3.6;97;0;0
05/01/2026;12:57;Varanges;-3.8;95;0;0
05/01/2026;12:57;Genlis;-3.2;97;0;0
